"deimos"

modified from the shape model of P. Thomas and
colleagues at Cornell.

long, lat, radius (km)
155,45,6.246
155,50,6.0895
155,55,5.9213
155,60,5.757
155,65,5.641
155,70,5.5765
155,75,5.5651
155,80,5.5872
155,85,5.6178
155,90,5.6326
160,-90,3.9545
160,-85,3.8759
160,-80,3.7912
160,-75,3.7463
160,-70,3.8109
160,-65,3.957
160,-60,4.1929
160,-55,4.4679
160,-50,4.7601
160,-45,5.1897
160,-40,5.731
160,-35,6.3967
160,-30,6.8627
160,-25,7.1127
160,-20,7.1968
160,-15,7.203
160,-10,7.2374
160,-5,7.2808
160,0,7.311
160,5,7.3242
160,10,7.2937
160,15,7.1647
160,20,6.9692
160,25,6.7633
160,30,6.6066
160,35,6.4643
160,40,6.3264
160,45,6.1828
160,50,6.0303
160,55,5.8726
160,60,5.7292
160,65,5.6182
160,70,5.5583
160,75,5.5503
160,80,5.5755
160,85,5.6091
160,90,5.6326
165,-90,3.9545
165,-85,3.8657
165,-80,3.771
165,-75,3.7366
165,-70,3.7928
165,-65,3.9108
165,-60,4.1391
165,-55,4.4334
165,-50,4.7346
165,-45,5.2023
165,-40,5.7964
165,-35,6.5116
165,-30,7.0312
165,-25,7.2913
165,-20,7.4035
165,-15,7.4288
165,-10,7.4743
165,-5,7.506
165,0,7.5124
165,5,7.4868
165,10,7.4345
165,15,7.2596
165,20,6.9598
165,25,6.7175
165,30,6.53
165,35,6.373
165,40,6.2368
165,45,6.1076
165,50,5.9806
165,55,5.849
165,60,5.7208
165,65,5.6141
165,70,5.5537
165,75,5.5436
165,80,5.5674
165,85,5.6009
165,90,5.6326
170,-90,3.9545
170,-85,3.8554
170,-80,3.749
170,-75,3.723
170,-70,3.7732
170,-65,3.8689
170,-60,4.0749
170,-55,4.388
170,-50,4.7182
170,-45,5.174
170,-40,5.779
170,-35,6.6088
170,-30,7.157
170,-25,7.5159
170,-20,7.6066
170,-15,7.7005
170,-10,7.7529
170,-5,7.7697
170,0,7.7173
170,5,7.6315
170,10,7.4798
170,15,7.2315
170,20,6.9264
170,25,6.6287
170,30,6.4361
170,35,6.2723
170,40,6.141
170,45,6.0337
170,50,5.9385
170,55,5.8414
170,60,5.7323
170,65,5.634
170,70,5.5673
170,75,5.549
170,80,5.5651
170,85,5.5937
170,90,5.6326
175,-90,3.9545
175,-85,3.8492
175,-80,3.7327
175,-75,3.7101
175,-70,3.755
175,-65,3.843
175,-60,4.0653
175,-55,4.3678
175,-50,4.7529
175,-45,5.2407
175,-40,5.8858
175,-35,6.7277
175,-30,7.3295
175,-25,7.6717
175,-20,7.9263
175,-15,8.0069
175,-10,8.0661
175,-5,8.0577
175,0,7.9403
175,5,7.7268
175,10,7.4863
175,15,7.1793
175,20,6.8392
175,25,6.5639
175,30,6.3604
175,35,6.1874
175,40,6.0609
175,45,5.9718
175,50,5.9096
175,55,5.8437
175,60,5.7609
175,65,5.6681
175,70,5.5977
175,75,5.5645
175,80,5.5682
175,85,5.5887
175,90,5.6326
180,-90,3.9545
180,-85,3.8383
180,-80,3.7438
180,-75,3.7093
180,-70,3.7432
180,-65,3.8217
180,-60,4.0343
180,-55,4.3421
180,-50,4.7571
180,-45,5.2595
180,-40,5.9325
180,-35,6.7355
180,-30,7.3894
180,-25,7.8498
180,-20,8.0927
180,-15,8.2322
180,-10,8.2651
180,-5,8.2001
180,0,8.0525
180,5,7.8074
180,10,7.5134
180,15,7.1784
180,20,6.8498
180,25,6.568
180,30,6.3349
180,35,6.1374
180,40,6.011
180,45,5.9334
180,50,5.8915
180,55,5.8511
180,60,5.7877
180,65,5.707
180,70,5.6292
180,75,5.5841
180,80,5.5703
180,85,5.5757
180,90,5.6326
185,-90,3.9545
185,-85,3.8345
185,-80,3.7323
185,-75,3.6907
185,-70,3.7181
185,-65,3.7995
185,-60,3.9992
185,-55,4.3023
185,-50,4.7212
185,-45,5.2437
185,-40,5.9275
185,-35,6.7099
185,-30,7.4092
185,-25,7.9379
185,-20,8.2213
185,-15,8.3871
185,-10,8.3932
185,-5,8.3019
185,0,8.113
185,5,7.8451
185,10,7.5343
185,15,7.2134
185,20,6.8787
185,25,6.5817
185,30,6.3315
185,35,6.103
185,40,5.9771
185,45,5.8992
185,50,5.8843
185,55,5.862
185,60,5.8171
185,65,5.7394
185,70,5.6507
185,75,5.5912
185,80,5.568
185,85,5.5738
185,90,5.6326
190,-90,3.9545
190,-85,3.83
190,-80,3.7229
190,-75,3.6687
190,-70,3.6863
190,-65,3.7709
190,-60,3.9547
190,-55,4.247
190,-50,4.6705
190,-45,5.1862
190,-40,5.8733
190,-35,6.6432
190,-30,7.3593
190,-25,7.9482
190,-20,8.2447
190,-15,8.4068
190,-10,8.3981
190,-5,8.2457
190,0,8.0098
190,5,7.7479
190,10,7.459
190,15,7.1846
190,20,6.9295
190,25,6.6288
190,30,6.3616
190,35,6.1259
190,40,5.9862
190,45,5.9038
190,50,5.8829
190,55,5.859
190,60,5.8184
190,65,5.7467
190,70,5.6606
190,75,5.5939
190,80,5.5683
190,85,5.5722
190,90,5.6326
195,-90,3.9545
195,-85,3.8294
195,-80,3.7159
195,-75,3.653
195,-70,3.6605
195,-65,3.726
195,-60,3.9281
195,-55,4.2092
195,-50,4.6048
195,-45,5.1012
195,-40,5.7359
195,-35,6.4462
195,-30,7.1525
195,-25,7.7657
195,-20,8.0882
195,-15,8.2758
195,-10,8.2217
195,-5,8.0137
195,0,7.7659
195,5,7.4945
195,10,7.2804
195,15,7.1115
195,20,6.9183
195,25,6.6887
195,30,6.4136
